1.1,1,1000,6.061,8.047,7.054
1.1,2,900,4.786,5.068,4.927
1.1,3,1200,1.138,6.61,3.874
1.1,4,100,3.348,9.379,6.3635
1.1,5,900,1.852,5.631,3.7415
1.1,6,1300,3.362,5.642,4.502
1.1,7,300,7.619,4.127,5.873
1.1,8,1200,4.485,5.61,5.0475
1.1,9,900,0.945,4.281,2.613
1.1,10,1000,2.731,4.158,3.4445
1.1,11,100,2.205,2.701,2.453
1.1,12,900,2.221,4.405,3.313
1.1,13,100,3.94,4.757,4.3485
1.1,14,300,2.168,3.686,2.927
1.1,15,1000,3.992,3.706,3.849
1.1,16,1000,1.583,3.567,2.575
1.1,17,500,3.62,6.088,4.854
1.1,18,900,2.794,3.985,3.3895
1.1,19,900,4.65,4.861,4.7555
1.1,20,100,2.041,2.412,2.2265
1.1,21,1300,4.335,2.75,3.5425
1.1,22,300,5.39,4.773,5.0815
1.1,23,300,1.905,1.312,1.6085
1.1,24,300,3.013,4.997,4.005
1.1,25,1400,3.28,9.685,6.4825
1.2,1,900,6.126,5.448,5.787
1.2,2,900,8.037,7.221,7.629
1.2,3,1500,5.833,9.541,7.687
1.2,4,250,8.525,6.664,7.5945
1.2,5,1000,5.573,11.263,8.418
1.2,6,1500,2.665,5.338,4.0015
1.2,7,500,3.335,9.887,6.611
1.2,8,2000,4.367,8.018,6.1925
1.2,9,1000,9.344,7.151,8.2475
1.2,10,1200,7.99,8.767,8.3785
1.2,11,250,2.451,5.441,3.946
1.2,12,750,5.912,3.914,4.913
1.2,13,250,1.554,6.061,3.8075
1.2,14,500,2.275,8.08,5.1775
1.2,15,900,5.783,3.751,4.767
1.2,16,1000,6.179,3.636,4.9075
1.2,17,250,4.986,7.067,6.0265
1.2,18,900,5.56,6.253,5.9065
1.2,19,900,6.782,8.95,7.866
1.2,20,500,8.233,3.331,5.782
1.2,21,1500,7.531,3.978,5.7545
1.2,22,750,6.497,5.859,6.178
1.2,23,500,3.1,6.95,5.025
1.2,24,750,4.588,5.386,4.987
1.2,25,1500,3.52,6.581,5.0505
1.3,1,800,2.457,7.236,4.8465
1.3,2,1000,3.242,11.076,7.159
1.3,3,1300,12.256,6.118,9.187
1.3,4,300,4.694,12.465,8.5795
1.3,5,1100,7.229,10.127,8.678
1.3,6,1200,12.98,12.573,12.7765
1.3,7,100,6.82,2.928,4.874
1.3,8,1500,9.59,4.54,7.065
1.3,9,1300,12.778,14.315,13.5465
1.3,10,806,5.038,4.436,4.737
1.3,11,100,4.669,2.396,3.5325
1.3,12,500,5.245,2.149,3.697
1.3,13,200,7.621,6.077,6.849
1.3,14,200,5.765,3.761,4.763
1.3,15,800,7.758,10.144,8.951
1.3,16,500,4.669,12.167,8.418
1.3,17,200,4.462,2.082,3.272
1.3,18,1000,5.666,11.061,8.3635
1.3,19,600,5.765,8.848,7.3065
1.3,20,300,4.278,3.607,3.9425
1.3,21,2000,15.427,8.187,11.807
1.3,22,100,5.672,3.050,1.528
1.3,23,200,1.707,9.038,5.3725
1.3,24,200,5.463,9.607,7.535
1.3,25,1200,3.895,9.8,6.8475
1.4,1,1200,7.058,6.762,6.91
1.4,2,1400,3.785,5.217,4.501
1.4,3,2000,1.511,3.658,2.5845
1.4,4,300,4.1,6.562,5.331
1.4,5,1300,5.379,6.085,5.732
1.4,6,1600,2.189,4.69,3.4395
1.4,7,500,2.238,5.468,3.853
1.4,8,2000,4.271,5.837,5.054
1.4,9,1000,3.673,3.901,3.787
1.4,10,800,2.99,4.991,3.9905
1.4,11,200,2.93,4.799,3.8645
1.4,12,1000,4.011,2.63,3.3205
1.4,13,400,3.18,3.188,3.184
1.4,14,600,1.93,2.461,2.1955
1.4,15,1300,4.63,3.382,4.006
1.4,16,800,2.17,3.533,2.8515
1.4,17,500,2.56,3.139,2.8495
1.4,18,1000,3.73,4.647,4.1885
1.4,19,700,3.82,3.491,3.6555
1.4,20,200,2.51,2.907,2.7085
1.4,21,1500,3.08,3.125,3.1025
1.4,22,500,3.73,2.752,3.241
1.4,23,700,3.12,1.507,2.3135
1.4,24,500,4.02,2.601,3.3105
1.4,25,2000,1.66,4.239,2.9495
1.5,1,800,2.811,3.979,3.395
1.5,2,1000,2.872,3.942,3.407
1.5,3,1200,3.628,8.41,6.019
1.5,4,100,2.95,3.466,3.208
1.5,5,1000,4.106,7.06,5.583
1.5,6,1200,5.644,4.702,5.173
1.5,7,200,4.12,4.536,4.328
1.5,8,1500,6.129,6.191,6.16
1.5,9,750,4.464,6.672,5.568
1.5,10,800,6.09,9.552,7.821
1.5,11,100,5.078,4.054,4.566
1.5,12,500,3.69,4.6,4.145
1.5,13,150,7.212,4.518,5.865
1.5,14,150,3.547,5.627,4.587
1.5,15,1200,4.122,4.954,4.538
1.5,16,500,6.37,9.852,8.111
1.5,17,150,5.301,3.644,4.4725
1.5,18,500,8.513,6.262,7.3875
1.5,19,800,5.418,6.362,5.89
1.5,20,150,4.276,3.596,3.936
1.5,21,1300,4.285,5.222,4.7535
1.5,22,150,5.423,3.356,4.3895
1.5,23,500,4.402,5.974,5.188
1.5,24,400,7.919,10.743,9.331
1.5,25,1200,4.886,3.896,4.391
