1,1,1100,8.047
1,2,900,5.068
1,3,1200,6.61
1,4,200,9.379
1,5,1100,5.631
1,6,1300,5.642
1,7,200,4.127
1,8,1200,5.61
1,9,1200,4.281
1,10,1000,4.158
1,11,300,2.701
1,12,600,4.405
1,13,300,4.757
1,14,300,3.686
1,15,1100,3.706
1,16,600,3.567
1,17,100,6.088
1,18,900,3.985
1,19,900,4.861
1,20,700,2.412
1,21,100,2.75
1,22,1250,4.773
1,23,300,1.312
1,24,300,4.997
1,25,1200,9.685
2,1,800,5.448
2,2,1300,7.221
2,3,1500,9.541
2,4,500,6.664
2,5,1100,11.263
2,6,1500,5.338
2,7,500,9.887
2,8,2000,8.018
2,9,900,7.151
2,10,1100,8.767
2,11,200,5.441
2,12,1000,3.914
2,13,400,6.061
2,14,1200,8.08
2,15,900,3.751
2,16,400,3.636
2,17,700,7.067
2,18,800,6.253
2,19,400,8.95
2,20,300,3.331
2,21,1500,3.978
2,22,500,5.859
2,23,700,6.95
2,24,500,5.386
2,25,1500,6.581
3,1,1150,7.236
3,2,1100,11.076
3,3,1300,6.118
3,4,400,12.465
3,5,800,10.127
3,6,900,12.573
3,7,200,2.928
3,8,2000,4.54
3,9,800,14.315
3,10,1500,4.436
3,11,200,2.396
3,12,500,2.149
3,13,100,6.077
3,14,300,3.761
3,15,500,10.144
3,16,500,12.167
3,17,100,2.082
3,18,500,11.061
3,19,800,8.848
3,20,100,3.607
3,21,1500,8.187
3,22,200,3.050
3,23,300,9.038
3,24,100,9.607
3,25,1300,9.8
4,1,1000,6.762
4,2,1500,5.217
4,3,2000,3.658
4,4,300,6.562
4,5,800,6.085
4,6,1700,4.69
4,7,400,5.468
4,8,1600,5.837
4,9,900,3.901
4,10,1200,4.991
4,11,400,4.799
4,12,600,2.63
4,13,300,3.188
4,14,500,2.461
4,15,1000,3.382
4,16,700,3.533
4,17,200,3.139
4,18,800,4.647
4,19,900,3.491
4,20,300,2.907
4,21,1500,3.125
4,22,500,2.752
4,23,600,1.507
4,24,400,2.601
4,25,1700,4.239
5,1,800,3.979
5,2,1000,3.942
5,3,1300,8.41
5,4,300,3.466
5,5,1000,7.06
5,6,1200,4.702
5,7,500,4.536
5,8,1200,6.191
5,9,1000,6.672
5,10,1100,9.552
5,11,200,4.054
5,12,800,4.6
5,13,100,4.518
5,14,800,5.627
5,15,1000,4.954
5,16,1000,9.852
5,17,500,3.644
5,18,800,6.262
5,19,600,6.362
5,20,200,3.596
5,21,1500,5.222
5,22,800,3.356
5,23,300,5.974
5,24,500,10.743
5,25,1500,3.896
6,1,800,5.497
6,2,1000,5.667
6,3,1500,2.65
6,4,200,4.669
6,5,1200,4.768
6,6,1500,4.293
6,7,300,4.868
6,8,1300,3.325
6,9,1000,4.904
6,10,1100,4.292
6,11,200,4.753
6,12,1000,3.844
6,13,300,1.972
6,14,500,4.295
6,15,1500,3.44
6,16,800,4.166
6,17,200,1.917
6,18,1000,2.07
6,19,800,2.343
6,20,200,2.033
6,21,1500,2.275
6,22,500,5.394
6,23,800,3.985
6,24,800,3.573
6,25,1500,1.997
7,1,700,4.487
7,2,900,8.547
7,3,1100,7.183
7,4,400,3.932
7,5,1000,5.078
7,6,1500,3.967
7,7,500,7.622
7,8,1000,3.321
7,9,1000,6.357
7,10,1200,8.645
7,11,400,4.91
7,12,1000,4.147
7,13,500,4.861
7,14,700,6.178
7,15,1000,2.808
7,16,900,9.613
7,17,400,3.877
7,18,800,7.003
7,19,900,4.654
7,20,400,4.593
7,21,1200,2.931
7,22,500,4.143
7,23,700,3.894
7,24,600,6.147
7,25,1300,6.671
8,1,1000,14.876
8,2,1200,4.61
8,3,1800,5.864
8,4,200,3.903
8,5,1500,5.176
8,6,2000,6.405
8,7,400,5.806
8,8,1800,5.311
8,9,1500,11.397
8,10,1300,11.023
8,11,200,4.312
8,12,800,5.336
8,13,200,6.76
8,14,300,7.1
8,15,1400,6.328
8,16,800,6.942
8,17,100,4.224
8,18,1100,4.968
8,19,400,8.055
8,20,100,6.532
8,21,1700,8.385
8,22,200,5.899
8,23,300,3.48
8,24,300,7.761
8,25,2000,6.603
9,1,1400,5.153
9,2,1300,8.855
9,3,1400,13.742
9,4,600,5.45
9,5,2000,2.883
9,6,1200,11.915
9,7,400,8.475
9,8,1200,15.837
9,9,1000,4.958
9,10,900,7.026
9,11,200,9.783
9,12,500,5.348
9,13,200,14.616
9,14,400,3.125
9,15,2000,2.541
9,16,1500,4.837
9,17,600,5.699
9,18,1100,5.703
9,19,1800,3.698
9,20,700,4.432
9,21,1000,4.8
9,22,200,6.772
9,23,400,4.204
9,24,700,5.463
9,25,2000,3.385
1.1,1,1000,6.061
1.1,2,900,4.786
1.1,3,1200,1.138
1.1,4,100,3.348
1.1,5,900,1.852
1.1,6,1300,3.362
1.1,7,300,7.619
1.1,8,1200,4.485
1.1,9,900,0.945
1.1,10,1000,2.731
1.1,11,100,2.205
1.1,12,900,2.221
1.1,13,100,3.94
1.1,14,300,2.168
1.1,15,1000,3.992
1.1,16,1000,1.583
1.1,17,500,3.62
1.1,18,900,2.794
1.1,19,900,4.65
1.1,20,100,2.041
1.1,21,1300,4.335
1.1,22,300,5.39
1.1,23,300,1.905
1.1,24,300,3.013
1.1,25,1400,3.28
1.2,1,900,6.126
1.2,2,900,8.037
1.2,3,1500,5.833
1.2,4,250,8.525
1.2,5,1000,5.573
1.2,6,1500,2.665
1.2,7,500,3.335
1.2,8,2000,4.367
1.2,9,1000,9.344
1.2,10,1200,7.99
1.2,11,250,2.451
1.2,12,750,5.912
1.2,13,250,1.554
1.2,14,500,2.275
1.2,15,900,5.783
1.2,16,1000,6.179
1.2,17,250,4.986
1.2,18,900,5.56
1.2,19,900,6.782
1.2,20,500,8.233
1.2,21,1500,7.531
1.2,22,750,6.497
1.2,23,500,3.1
1.2,24,750,4.588
1.2,25,1500,3.52
1.5,1,800,2.811
1.5,2,1000,2.872
1.5,3,1200,3.628
1.5,4,100,2.95
1.5,5,1000,4.106
1.5,6,1200,5.644
1.5,7,200,4.12
1.5,8,1500,6.129
1.5,9,750,4.464
1.5,10,800,6.09
1.5,11,100,5.078
1.5,12,500,3.69
1.5,13,150,7.212
1.5,14,150,3.547
1.5,15,1200,4.122
1.5,16,500,6.37
1.5,17,150,5.301
1.5,18,500,8.513
1.5,19,800,5.418
1.5,20,150,4.276
1.5,21,1300,4.285
1.5,22,150,5.423
1.5,23,500,4.402
1.5,24,400,7.919
1.5,25,1200,4.886
1.6,1,800,2.457
1.6,2,1000,3.242
1.6,3,1300,12.256
1.6,4,300,4.694
1.6,5,1100,7.229
1.6,6,1200,12.98
1.6,7,100,6.82
1.6,8,1500,9.59
1.6,9,1300,12.778
1.6,10,806,5.038
1.6,11,100,4.669
1.6,12,500,5.245
1.6,13,200,7.621
1.6,14,200,5.765
1.6,15,800,7.758
1.6,16,500,4.669
1.6,17,200,4.462
1.6,18,1000,5.666
1.6,19,600,5.765
1.6,20,300,4.278
1.6,21,2000,15.427
1.6,22,100,5.672
1.6,23,200,1.707
1.6,24,200,5.463
1.6,25,1200,3.895
1.7,1,1200,7.058
1.7,2,1400,3.785
1.7,3,2000,1.511
1.7,4,300,4.1
1.7,5,1300,5.379
1.7,6,1600,2.189
1.7,7,500,2.238
1.7,8,2000,4.271
1.7,9,1000,3.673
1.7,10,800,2.99
1.7,11,200,2.93
1.7,12,1000,4.011
1.7,13,400,3.18
1.7,14,600,1.93
1.7,15,1300,4.63
1.7,16,800,2.17
1.7,17,500,2.56
1.7,18,1000,3.73
1.7,19,700,3.82
1.7,20,200,2.51
1.7,21,1500,3.08
1.7,22,500,3.73
1.7,23,700,3.12
1.7,24,500,4.02
1.7,25,2000,1.66
10,1,750,6.67
10,2,750,6.65
10,3,1500,3.88
10,4,200,2.24
10,5,1300,2.71
10,6,1700,5.25
10,7,600,4.28
10,8,2000,3.02
10,9,800,3.88
10,10,1000,2.82
10,11,300,3.42
10,12,800,2.82
10,13,500,2.3
10,14,600,2.79
10,15,1200,3.3
10,16,400,3.58
10,17,300,4
10,18,1000,1.92
10,19,700,3.31
10,20,300,2.87
10,21,2000,2.78
10,22,500,2.76
10,23,500,3.84
10,24,400,1.92
10,25,1400,3.89
11,1,700,15.4
11,2,1200,20.72
11,3,1500,7.35
11,4,300,5.55
11,5,900,6.09
11,6,1100,11.43
11,7,400,6.61
11,8,2000,4.65
11,9,600,7.71
11,10,500,3.5
11,11,100,4.36
11,12,400,2.75
11,13,200,3.59
11,14,300,6.12
11,15,1000,5.17
11,16,800,4.95
11,17,200,3.76
11,18,400,2.99
11,19,800,7.66
11,20,400,4.95
11,21,1300,4.87
11,22,500,3.05
11,23,400,3.78
11,24,400,4.38
11,25,1200,2.83
12,1,1000,8.99
12,2,1200,8.02
12,3,1500,3.867
12,4,400,4.73
12,5,900,4.734
12,6,1500,7.61
12,7,300,6.13
12,8,1700,5.86
12,9,1200,2.95
12,10,1100,3.33
12,11,300,11.12
12,12,800,7.37
12,13,400,8.65
12,14,800,4.46
12,15,1500,5.83
12,16,1000,4.5
12,17,200,6.9
12,18,1100,3.66
12,19,900,4.43
12,20,400,4.06
12,21,1400,8.01
12,22,600,3.53
12,23,700,5.55
12,24,800,6.86
12,25,1700,7.38
